Date,Open
4/14/16,17912.25
4/13/16,17741.66016
4/12/16,17571.33984
4/11/16,17586.48047
4/8/16,17555.39063
4/7/16,17687.2793
4/6/16,17605.44922
4/5/16,17718.0293
4/4/16,17799.39063
4/1/16,17661.74023
3/31/16,17716.05078
3/30/16,17652.35938
3/29/16,17512.58008
3/28/16,17526.08008
3/24/16,17485.33008
3/23/16,17588.81055
3/22/16,17602.71094
3/21/16,17589.69922
3/18/16,17481.49023
3/17/16,17321.38086
3/16/16,17249.33984
3/15/16,17217.15039
3/14/16,17207.49023
3/11/16,17014.99023
3/10/16,17006.05078
3/9/16,16969.16992
3/8/16,17050.66992
3/7/16,16991.28906
3/4/16,16945
3/3/16,16896.16992
3/2/16,16851.16992
3/1/16,16545.66992
2/29/16,16634.15039
2/26/16,16712.69922
2/25/16,16504.38086
2/24/16,16418.83984
2/23/16,16610.39063
2/22/16,16417.13086
2/19/16,16410.96094
2/18/16,16483.75977
2/17/16,16217.98047
2/16/16,16012.38965
2/12/16,15691.62012
2/11/16,15897.82031
2/10/16,16035.61035
2/9/16,16005.41016
2/8/16,16147.50977
2/5/16,16417.94922
2/4/16,16329.66992
2/3/16,16186.2002
2/2/16,16420.21094
2/1/16,16453.63086
1/29/16,16090.25977
1/28/16,15960.28027
1/27/16,16168.74023
1/26/16,15893.16016
1/25/16,16086.45996
1/22/16,15921.09961
1/21/16,15768.87012
1/20/16,15989.4502
1/19/16,16009.4502
1/15/16,16354.33008
1/14/16,16159.00977
1/13/16,16526.63086
1/12/16,16419.10938
1/11/16,16358.70996
1/8/16,16519.16992
1/7/16,16888.35938
1/6/16,17154.83008
1/5/16,17147.5
1/4/16,17405.48047
12/31/15,17590.66016
12/30/15,17711.93945
12/29/15,17547.36914
12/28/15,17535.66016
12/24/15,17593.25977
12/23/15,17427.63086
12/22/15,17253.55078
12/21/15,17154.93945
12/18/15,17495.03906
12/17/15,17756.53906
12/16/15,17530.84961
12/15/15,17374.7793
12/14/15,17277.10938
12/11/15,17574.75
12/10/15,17493.16992
12/9/15,17558.17969
12/8/15,17703.99023
12/7/15,17845.49023
12/4/15,17482.67969
12/3/15,17741.57031
12/2/15,17883.14063
12/1/15,17719.7207
11/30/15,17802.83984
11/27/15,17806.03906
11/25/15,17820.81055
11/24/15,17770.90039
11/23/15,17823.60938
11/20/15,17732.75
11/19/15,17739.83008
11/18/15,17485.49023
11/17/15,17486.99023
11/16/15,17229.93945
11/13/15,17439.25
11/12/15,17691.92969
11/11/15,17769.5
11/10/15,17724.13086
11/9/15,17900.7793
11/6/15,17855.2207
11/5/15,17871.25
11/4/15,17929.58008
11/3/15,17819.74023
11/2/15,17672.61914
10/30/15,17756.59961
10/29/15,17771.5
10/28/15,17586.68945
10/27/15,17608.89063
